title,url,matching_questions,similarity,emb_file,graph_file
Questions have arisen about Trump's Cabinet picks. Here's how Republicans and voters feel about them,https://www.youtube.com/watch?v=CaBSXExh9GU,Will Pete Hegseth be Trump's Defense Secretary?,0.6846078634262085,data/emb_0001.pt,data/graph_0001.pt
Questions have arisen about Trump's Cabinet picks. Here's how Republicans and voters feel about them,https://www.youtube.com/watch?v=CaBSXExh9GU,Will RFK Jr. be Trump's HHS Secretary?,0.6514580249786377,data/emb_0001.pt,data/graph_0001.pt
Questions have arisen about Trump's Cabinet picks. Here's how Republicans and voters feel about them,https://www.youtube.com/watch?v=CaBSXExh9GU,RFK Jr. confirmed as Health & Human Services Secretary?,0.627057671546936,data/emb_0001.pt,data/graph_0001.pt
Questions have arisen about Trump's Cabinet picks. Here's how Republicans and voters feel about them,https://www.youtube.com/watch?v=CaBSXExh9GU,Will Eric Hargan be Trump's HHS Secretary?,0.6083769798278809,data/emb_0001.pt,data/graph_0001.pt
Questions have arisen about Trump's Cabinet picks. Here's how Republicans and voters feel about them,https://www.youtube.com/watch?v=CaBSXExh9GU,Will Brian Blase be Trump's HHS Secretary?,0.6024751663208008,data/emb_0001.pt,data/graph_0001.pt
Will the Senate confirm all of Trump's picks? Wallace and his panel discuss,https://www.youtube.com/watch?v=yujM1t81bCw,Will Matt Gaetz be Trump's Attorney General?,0.7512606382369995,data/emb_0006.pt,data/graph_0006.pt
Will the Senate confirm all of Trump's picks? Wallace and his panel discuss,https://www.youtube.com/watch?v=yujM1t81bCw,Matt Gaetz confirmed as Attorney General?,0.7252734899520874,data/emb_0006.pt,data/graph_0006.pt
Will the Senate confirm all of Trump's picks? Wallace and his panel discuss,https://www.youtube.com/watch?v=yujM1t81bCw,Will Trump use a recess appointment for Matt Gaetz?,0.6746535301208496,data/emb_0006.pt,data/graph_0006.pt
"Doctor warns about RFK Jr., citing measles deaths in Samoa",https://www.youtube.com/watch?v=Ut4Br9oTJgo,Will Trump nominate RFK for FDA Commissioner?,0.6166521906852722,data/emb_0009.pt,data/graph_0009.pt
Conway reacts to Trump's pick for deputy attorney general: I can't get upset about it,https://www.youtube.com/watch?v=2tIFyf_n3us,Will Todd Blanche be Trump's Attorney General?,0.7778428792953491,data/emb_0010.pt,data/graph_0010.pt
Conway reacts to Trump's pick for deputy attorney general: I can't get upset about it,https://www.youtube.com/watch?v=2tIFyf_n3us,Will Andrew Bailey be Trump's Attorney General?,0.6032178401947021,data/emb_0010.pt,data/graph_0010.pt
Maggie Haberman explains the thinking behind Trump's controversial picks,https://www.youtube.com/watch?v=aPysMxF7ZC0,Will RFK be a member of the Trump administration?,0.7214144468307495,data/emb_0012.pt,data/graph_0012.pt
Maggie Haberman explains the thinking behind Trump's controversial picks,https://www.youtube.com/watch?v=aPysMxF7ZC0,Trump nominates RFK Jr. to Cabinet?,0.7099506855010986,data/emb_0012.pt,data/graph_0012.pt
Maggie Haberman explains the thinking behind Trump's controversial picks,https://www.youtube.com/watch?v=aPysMxF7ZC0,Will Trump nominate RFK Jr. for HHS Secretary?,0.6609743237495422,data/emb_0012.pt,data/graph_0012.pt
Maggie Haberman explains the thinking behind Trump's controversial picks,https://www.youtube.com/watch?v=aPysMxF7ZC0,Will Trump nominate RFK for FDA Commissioner?,0.6168502569198608,data/emb_0012.pt,data/graph_0012.pt
Ronan Farrow: Elon Musk could potentially cut the budgets of agencies investigating him,https://www.youtube.com/watch?v=KMVSP2iYxQU,Will Elon Musk be a member of the Trump administration?,0.632818341255188,data/emb_0016.pt,data/graph_0016.pt
Ronan Farrow: Elon Musk could potentially cut the budgets of agencies investigating him,https://www.youtube.com/watch?v=KMVSP2iYxQU,Trump nominates Elon Musk to Cabinet?,0.6261328458786011,data/emb_0016.pt,data/graph_0016.pt
Worst cabinet-level appointment in history': Bolton on Trump picking Gabbard,https://www.youtube.com/watch?v=E_3lrQWB47c,Will Trump nominate Tulsi Gabbard for Homeland Security Secretary?,0.7517868876457214,data/emb_0018.pt,data/graph_0018.pt
