id,title,url,upload_date,matching_questions,similarity,output,volatility_3d,threshold_label,result
0,Gutfeld: We're seeing the 'downfall of the inauthentic' with Kamala Harris,https://www.youtube.com/watch?v=6DmwFanCzfs,2024-10-24T22:27:37Z,Kamala Harris blowout victory?,0.6471205949783325,Impact,0.1947,Impact,1
1,Gutfeld: We're seeing the 'downfall of the inauthentic' with Kamala Harris,https://www.youtube.com/watch?v=6DmwFanCzfs,2024-10-24T22:27:37Z,Kamala Harris fires campaign manager?,0.6316817998886108,Impact,0.0917,Impact,1
2,"Trump takes lead on VP Harris, top pollster reveals 'gut' prediction",https://www.youtube.com/watch?v=Jt8UgIdBU4s,2024-10-24T15:30:09Z,Will Trump win Florida by 8+ points?,0.6138694286346436,Impact,0.0409,Impact,1
4,Jesse Watters: Kamala just does what she's told,https://www.youtube.com/watch?v=6ZkuOWvx9Pw,2024-10-24T01:13:43Z,Will Kamala Harris win the 2024 US Presidential Election?,0.6483749747276306,Impact,0.0318,Impact,1
5,Jesse Watters: Kamala just does what she's told,https://www.youtube.com/watch?v=6ZkuOWvx9Pw,2024-10-24T01:13:43Z,Kamala Harris wins the popular vote?,0.6123504638671875,Impact,0.0221,Impact,1
6,Jesse Watters: Kamala just does what she's told,https://www.youtube.com/watch?v=6ZkuOWvx9Pw,2024-10-24T01:13:43Z,Will Kamala Harris drop out of presidential race?,0.610588014125824,Impact,0.0608,Impact,1
7,Gutfeld blasts Kamala Harris for shoveling up 'load of crap' on Biden's mental acuity,https://www.youtube.com/watch?v=1UEfIWrlp1Y,2024-10-23T22:17:01Z,Kamala Harris and JD Vance debate before election?,0.6403186321258545,Impact,0.2381,Impact,1
8,'How did we get here?': Liberal pundits beginning to fear Trump win,https://www.youtube.com/watch?v=5a7qPNAnDVE,2024-10-23T19:00:03Z,Will Kamala Harris be D-nom for VP on Election Day?,0.6367833018302917,Impact,0.0,No impact,0
9,'How did we get here?': Liberal pundits beginning to fear Trump win,https://www.youtube.com/watch?v=5a7qPNAnDVE,2024-10-23T19:00:03Z,Kamala Harris blowout victory?,0.603463351726532,Impact,0.2143,Impact,1
10,DeSantis warns Kamala Harris not doing well 'at all' with key group,https://www.youtube.com/watch?v=jzed1FzDHzU,2024-10-23T16:00:50Z,Will Trump win Florida by 8+ points?,0.6576531529426575,No impact,0.0338,Impact,0
12,DeSantis warns Kamala Harris not doing well 'at all' with key group,https://www.youtube.com/watch?v=jzed1FzDHzU,2024-10-23T16:00:50Z,Will Ron DeSantis win the popular vote in the 2024 Presidential Election?,0.6149013042449951,No impact,0.0,No impact,1
