Segment Index,Start Time (s),End Time (s),Text
1,0.0,4.08," Well, I would say in the case of Matt Gaetz, I bet they're going to have to withdraw his nomination."
2,4.46,9.2, I think that's a bridge too far. No one should underestimate how much these
3,9.2,13.18," House Republicans dislike him. I mean, dislike is actually, that's a dramatic understatement"
4,13.18,16.24," to use that term to describe how much they dislike him, the House Republicans. So,"
5,16.62,20.9," I think he's got a problem, you know, that ethics report that's looming,"
6,21.579999999999995,25.5," there's a good chance that that might come out as well, and those reports are not pretty."
7,25.8,29.98," I was chairman of that committee, and I can tell you, you know, you don't resign from Congress,"
8,31.099999999999998,34.92," if that report's going to be clean, it's not going to be clean, and there could be a referral"
9,34.92,39.82," in there too to the Department of Justice that happens from time to time, plus sanctions of all sorts."
10,40.24,45.94," Yeah, I also think, you know, the Matt Gaetz of it all is so strange because"
11,47.620000000000005,51.26," these allegations have been out there, and I also think it's interesting that that statement that"
12,51.26,58.18," they put out that we read, Mayor Garland's DOJ cleared Matt Gaetz. It is true, right? It's also true"
13,58.18,65.88, that Donald Trump's DOJ initiated this investigation. It seems to undermine Gaetz's own justification
14,65.88,71.18," for wanting to wreck the Justice Department. They're not pursuing justice against him, apparently,"
15,71.54,76.36," and that's not a conspiracy, but he's been dealing with this for a really long time,"
16,77.04,81.18," and there's stuff underneath the surface, but obviously it hasn't come to charges."
17,81.7,85.98," Well, it hasn't. He wasn't cleared. They just didn't bring charges, and the reason they didn't"
18,85.98,90.4," bring charges, not only has he been stuck with this for a few years, so I'm covered it for"
19,90.4,95.44," Debra said, 2021, I have a PhD in this, unfortunately, is that there just wasn't enough credible evidence,"
20,95.84,102.2, and a lot of the witnesses had credibility problems. But the young woman who we believe gave this
21,102.2,107.42," statement was among those who had credibility problems in the eyes of the Department of Justice,"
22,107.6,113.6, specifically if it's the woman who's known as KM. She had apparently encouraged this minor to
23,113.6,119.24," sell herself on seeking arrangements, a dating website, and act in a prostitution fashion,"
24,119.6,125.28," knowing the young woman was under age. Therefore, this witness herself was by her own admission,"
25,125.56,131.46," essentially guilty of sex trafficking, a minor herself. That's the reason, in part, that DOJ never"
26,131.46,139.46, brought these charges. But even all of that is whether it's true or proven or true or false.
27,139.46,145.66, It's problematic. It's problematic that the guy who is being nominated at the Department of Justice
28,145.66,152.64," has that in his record, and then we're also learning that the Trump transition team has tried to"
29,152.64,158.02," avoid or has avoided FBI background checks, which are typically standard for these kinds of positions."
30,158.3,163.32," Why? I mean, presumably because they know that their candidates would fail them. Like, why"
31,163.32,169.16, else would you not vet them? Or why else would you not have this very standard security procedure
32,169.16,174.94," go in place unless you thought that they were potentially going to fail the test, essentially?"
33,175.56,181.34," I mean, I think what's interesting here is that besides what we know or don't know about what"
34,181.34,186.48," Matt Gates may have done behind closed doors and the allegations are quite disturbing, there's"
35,186.48,190.32," plenty of stuff he's done in public that I think should have disqualified him from this job,"
36,190.32,194.46," including bringing a Holocaust denier to the 2018 state of the union,"
37,194.94,198.08," including pounding around with the proud boys, a white supremacist group."
38,198.6,203.96," You know, there's plenty of stuff that was bad enough that you don't even need to get to the"
39,203.96,207.8," possibility of child sex trafficking, in my view. Well, if that was the case, then there are"
40,207.8,210.88, plenty of things that would have disqualified Donald Trump from ever being present in the United
41,210.88,215.34," States, and as well. I think that at the end of the day, there are also at least a couple of"
42,215.76,221.0, congressmembers at this point who are also Holocaust deniers. The American voter has decided to take
43,221.0,224.54," a very different path when it comes to what is acceptable and what is not in the past few years,"
44,224.86,229.28," a place that we had not seen them, you know, in decades prior. But these are interesting picks."
45,229.48,233.7," Part of it, I think, is the shock and off-actor of Donald Trump trying to showcase just how far"
46,233.7,240.96, he can go. The other part is him basically owning the party. And because he feels that he had a mandate
47,240.96,245.72," in this most recent election, Maga is not going away. He is choosing the most radical people he"
48,245.72,249.24," possibly can, acknowledging that they have questionable paths. But, hell, he does as well."
49,249.62,255.04," I don't agree with that. I think what we saw in the election just 10 days ago or so, the American"
50,255.04,260.24," people gave the president a mandate. And they knew, I mean, the president, I was a lot of rallies"
51,260.24,264.08," around Pennsylvania for President Trump and for Senator Vance, and the weaponization of the"
52,264.08,268.14," Justice Department and what happened at the FBI and what happened at DOJ was brought up at,"
53,268.14,272.04, I can't recall a rally where it didn't. So voters clearly understand. I think we need to give
54,272.04,276.26," some credit to the voters here who looked at all of this and said, we trust Donald Trump to make"
55,276.26,280.0," America great again. We trust Donald Trump to fix the economy, fix our borders, secure our"
56,280.0,283.94," borders, secure our communities, bring peace through strength. And we trust him to make the"
57,283.94,288.82, picks in his cabinet. They're going to make those policies a reality. So the president's making
58,288.82,293.08," his selections, the Senate is going to do their investigation. They're going to advise and consent."
59,293.2,295.86, We're going to have hearings. But I think to say that-
60,295.86,299.2, My argument was never that they didn't understand. I never said that. I think that they fully
61,299.2,303.04, understood it and they went along with it. That is also problematic. I never said that the American
62,303.04,306.4, public didn't understand all the evidence was there before them. They saw it. I think you should
63,306.4,308.24," give the voters credit. I mean, I can always be-"
64,308.24,312.08, I do. I give them credit for making the choice that they made irrespective of all of the things
65,312.08,313.8, that were problematic that are outside of-
66,313.8,318.34, Where they prioritize those things. They prioritize the cost of eggs. They prioritize being
67,318.34,322.66," able to put gas in the tank. They prioritize having a safe, secure community. They prioritize,"
68,322.66,325.4, not having fentanyl in their communities. They prioritize-
69,325.4,326.3, But-
70,326.3,331.54, I agree that probably people were voting based on the price of eggs. But the argument that I think
71,331.54,335.96, you're also making is that now Trump has a mandate to do all of this other stuff that voters were
72,335.96,343.92," not motivated by, including putting a alleged child sex trafficker slash pal of Holocaust"
73,343.92,349.7," and dire in charge of the DOC. I mean, the Pete Hegseth of it all as well. I mean, how committed do"
74,349.7,350.72, you think Mark-
75,350.72,351.1, 100%.
76,351.1,355.82, He is doing this. And what exactly do you think he wants Pete Hegseth to do-
77,355.82,361.0," Well, from what I understand, the top mandate is to get rid of the wokeness. It's not my words"
78,361.0,362.6, in the Department of Justice-
79,362.6,363.62, Right. I'm talking about the Department of Justice here.
80,363.94,368.14, The defense. This was something that Hegseth had said on a podcast just like a week before.
81,368.46,374.18, He was chosen or aired about two weeks before. That's his mandate. And the idea that Donald Trump
82,374.18,381.22, is going to back away from a man that he has nominated because he's been accused of sexual
83,381.22,388.06," impropriate, strange credulity. Can I play this from Congressman Ryan about why he thinks so many"
84,388.06,393.72," these candidates and their problems seem to kind of circle around the same drain, so to speak?"
85,395.54,399.86, This is a pattern if we zoom out across all these nominees. You have Mac Aids.
86,400.82,406.5, You have now Hegseth. You have the president elect himself and a whole host of others with
87,407.15999999999997,414.3," long-standing patterns of disrespect for women, in Trump's case civil liability for these types"
88,414.3,420.98," of charges. So I don't know why anybody is surprised, frankly. That's I think something I wish I"
89,420.98,429.84," didn't have to say. It is strange that- I mean, look, I got three guys at the table here. I don't"
90,429.84,434.16, as far as I know. I don't think there are any allegations against you in this vein. Most people
91,434.16,439.18," don't have allegations against them in this vein. How did we end up here? Well, I mean, it wasn't-"
92,439.18,443.62," I'm old enough to remember when these allegations smear as against then Judge Kavanaugh,"
93,443.62,448.5, now Justice Kavanaugh reared their head at the last minute and the nation was riveted to these
94,448.5,454.14," hearings. Justice, well, Judge Kavanaugh at the time, he stood firm. He looked the camera"
95,454.14,457.84, right in the eye. He pushed back against those allegations. He was confirmed. He's turned out
96,457.84,462.8," to be a spectacular justice, an excellent justice of the United States Supreme Court. So that these"
97,462.8,466.6," smears happen. I mean, it is- there is a pattern here."
