title,url,matching_questions,audio_file,video_file,question_file,text_file,threshold_label
Kayleigh McEnany: This could cost Kamala Harris a possible win,https://www.youtube.com/watch?v=-4i17fjvXU0,Kamala Harris fires campaign manager?,/media/user/data/polymarket/data/embbeding/audio/audio_0001.pt,/media/user/data/polymarket/data/embbeding/video/video_0001.pt,/media/user/data/polymarket/data/embbeding/question/question_0002.pt,/media/user/data/polymarket/data/embbeding/text/text_0001.pt,Impact
Kamala Harris goes viral for stunning admission on 'The View',https://www.youtube.com/watch?v=-VxoF-s8fDU,Will any other Democratic Politician win the 2024 US Presidential Election?,/media/user/data/polymarket/data/embbeding/audio/audio_0003.pt,/media/user/data/polymarket/data/embbeding/video/video_0003.pt,/media/user/data/polymarket/data/embbeding/question/question_0003.pt,/media/user/data/polymarket/data/embbeding/text/text_0003.pt,No impact
Kamala Harris goes viral for stunning admission on 'The View',https://www.youtube.com/watch?v=-VxoF-s8fDU,Will Kamala Harris win the 2024 US Presidential Election?,/media/user/data/polymarket/data/embbeding/audio/audio_0003.pt,/media/user/data/polymarket/data/embbeding/video/video_0003.pt,/media/user/data/polymarket/data/embbeding/question/question_0004.pt,/media/user/data/polymarket/data/embbeding/text/text_0003.pt,Impact
Iran's military chief warns of broader strikes if Israel responds,https://www.youtube.com/watch?v=01vZU72HDCo,Israel military response against Iran by Friday?,/media/user/data/polymarket/data/embbeding/audio/audio_0006.pt,/media/user/data/polymarket/data/embbeding/video/video_0006.pt,/media/user/data/polymarket/data/embbeding/question/question_0006.pt,/media/user/data/polymarket/data/embbeding/text/text_0006.pt,Impact
Iran's military chief warns of broader strikes if Israel responds,https://www.youtube.com/watch?v=01vZU72HDCo,Israel declares war on Iran in October?,/media/user/data/polymarket/data/embbeding/audio/audio_0006.pt,/media/user/data/polymarket/data/embbeding/video/video_0006.pt,/media/user/data/polymarket/data/embbeding/question/question_0007.pt,/media/user/data/polymarket/data/embbeding/text/text_0006.pt,Impact
Iran's military chief warns of broader strikes if Israel responds,https://www.youtube.com/watch?v=01vZU72HDCo,Will Israel target Tehran?,/media/user/data/polymarket/data/embbeding/audio/audio_0006.pt,/media/user/data/polymarket/data/embbeding/video/video_0006.pt,/media/user/data/polymarket/data/embbeding/question/question_0008.pt,/media/user/data/polymarket/data/embbeding/text/text_0006.pt,Impact
Iran's military chief warns of broader strikes if Israel responds,https://www.youtube.com/watch?v=01vZU72HDCo,Will Israel target an Iranian nuclear facility?,/media/user/data/polymarket/data/embbeding/audio/audio_0006.pt,/media/user/data/polymarket/data/embbeding/video/video_0006.pt,/media/user/data/polymarket/data/embbeding/question/question_0009.pt,/media/user/data/polymarket/data/embbeding/text/text_0006.pt,Impact
Iran's military chief warns of broader strikes if Israel responds,https://www.youtube.com/watch?v=01vZU72HDCo,Israel military action against Iran by end of 2024?,/media/user/data/polymarket/data/embbeding/audio/audio_0006.pt,/media/user/data/polymarket/data/embbeding/video/video_0006.pt,/media/user/data/polymarket/data/embbeding/question/question_0010.pt,/media/user/data/polymarket/data/embbeding/text/text_0006.pt,No impact
Iran's military chief warns of broader strikes if Israel responds,https://www.youtube.com/watch?v=01vZU72HDCo,Another Iran strike on Israel by Friday?,/media/user/data/polymarket/data/embbeding/audio/audio_0006.pt,/media/user/data/polymarket/data/embbeding/video/video_0006.pt,/media/user/data/polymarket/data/embbeding/question/question_0011.pt,/media/user/data/polymarket/data/embbeding/text/text_0006.pt,Impact
Hear Ty Cobb's reaction to Trump possibly pardoning Jan. 6 rioters,https://www.youtube.com/watch?v=0EXgciZoNXg,Trump wins and picks Dimon for Treasury Secretary?,/media/user/data/polymarket/data/embbeding/audio/audio_0012.pt,/media/user/data/polymarket/data/embbeding/video/video_0012.pt,/media/user/data/polymarket/data/embbeding/question/question_0014.pt,/media/user/data/polymarket/data/embbeding/text/text_0012.pt,Impact
Hear Ty Cobb's reaction to Trump possibly pardoning Jan. 6 rioters,https://www.youtube.com/watch?v=0EXgciZoNXg,Will Trump nominate Marco Rubio for Secretary of State?,/media/user/data/polymarket/data/embbeding/audio/audio_0012.pt,/media/user/data/polymarket/data/embbeding/video/video_0012.pt,/media/user/data/polymarket/data/embbeding/question/question_0015.pt,/media/user/data/polymarket/data/embbeding/text/text_0012.pt,Impact
Axelrod describes election's wild card imponderables' that could decide who wins,https://www.youtube.com/watch?v=0YWPeleTp8c,"Harris wins the election but loses WI, MI, or PA?",/media/user/data/polymarket/data/embbeding/audio/audio_0017.pt,/media/user/data/polymarket/data/embbeding/video/video_0017.pt,/media/user/data/polymarket/data/embbeding/question/question_0017.pt,/media/user/data/polymarket/data/embbeding/text/text_0017.pt,Impact
"Israel and Hamas agree to Gaza ceasefire and hostage deal, source says",https://www.youtube.com/watch?v=0vcIXogcQ3c,Israel x Hamas ceasefire by January 31?,/media/user/data/polymarket/data/embbeding/audio/audio_0018.pt,/media/user/data/polymarket/data/embbeding/video/video_0018.pt,/media/user/data/polymarket/data/embbeding/question/question_0018.pt,/media/user/data/polymarket/data/embbeding/text/text_0018.pt,Impact
"Israel and Hamas agree to Gaza ceasefire and hostage deal, source says",https://www.youtube.com/watch?v=0vcIXogcQ3c,Israel x Hamas ceasefire by March 31?,/media/user/data/polymarket/data/embbeding/audio/audio_0018.pt,/media/user/data/polymarket/data/embbeding/video/video_0018.pt,/media/user/data/polymarket/data/embbeding/question/question_0019.pt,/media/user/data/polymarket/data/embbeding/text/text_0018.pt,Impact
This isn't working anymore for Kamala Harris: Banderas,https://www.youtube.com/watch?v=1B8Z4XXoYFY,Kamala Harris wins the popular vote?,/media/user/data/polymarket/data/embbeding/audio/audio_0020.pt,/media/user/data/polymarket/data/embbeding/video/video_0020.pt,/media/user/data/polymarket/data/embbeding/question/question_0020.pt,/media/user/data/polymarket/data/embbeding/text/text_0020.pt,Impact
Ex-DHS official speaks out about Trump's new border czar,https://www.youtube.com/watch?v=1JOAf8m822A,Will Trump nominate Thomas Homan for Homeland Security Secretary?,/media/user/data/polymarket/data/embbeding/audio/audio_0021.pt,/media/user/data/polymarket/data/embbeding/video/video_0021.pt,/media/user/data/polymarket/data/embbeding/question/question_0021.pt,/media/user/data/polymarket/data/embbeding/text/text_0021.pt,Impact
Gutfeld blasts Kamala Harris for shoveling up 'load of crap' on Biden's mental acuity,https://www.youtube.com/watch?v=1UEfIWrlp1Y,Kamala Harris and JD Vance debate before election?,/media/user/data/polymarket/data/embbeding/audio/audio_0022.pt,/media/user/data/polymarket/data/embbeding/video/video_0022.pt,/media/user/data/polymarket/data/embbeding/question/question_0022.pt,/media/user/data/polymarket/data/embbeding/text/text_0022.pt,Impact
Biden to Trump: Welcome back',https://www.youtube.com/watch?v=1Vif2iLsN_o,Will Joe Biden attend presidential inauguration?,/media/user/data/polymarket/data/embbeding/audio/audio_0023.pt,/media/user/data/polymarket/data/embbeding/video/video_0023.pt,/media/user/data/polymarket/data/embbeding/question/question_0023.pt,/media/user/data/polymarket/data/embbeding/text/text_0023.pt,No impact
NJ lawmakers call for military response to drone sightings,https://www.youtube.com/watch?v=1c5ahiOM684,Mystery drones shot down by Sunday?,/media/user/data/polymarket/data/embbeding/audio/audio_0024.pt,/media/user/data/polymarket/data/embbeding/video/video_0024.pt,/media/user/data/polymarket/data/embbeding/question/question_0024.pt,/media/user/data/polymarket/data/embbeding/text/text_0024.pt,Impact
NJ lawmakers call for military response to drone sightings,https://www.youtube.com/watch?v=1c5ahiOM684,Mystery drones shot down by Friday?,/media/user/data/polymarket/data/embbeding/audio/audio_0024.pt,/media/user/data/polymarket/data/embbeding/video/video_0024.pt,/media/user/data/polymarket/data/embbeding/question/question_0025.pt,/media/user/data/polymarket/data/embbeding/text/text_0024.pt,Impact
NJ lawmakers call for military response to drone sightings,https://www.youtube.com/watch?v=1c5ahiOM684,New Jersey mystery drones from foreign country?,/media/user/data/polymarket/data/embbeding/audio/audio_0024.pt,/media/user/data/polymarket/data/embbeding/video/video_0024.pt,/media/user/data/polymarket/data/embbeding/question/question_0026.pt,/media/user/data/polymarket/data/embbeding/text/text_0024.pt,Impact
NJ lawmakers call for military response to drone sightings,https://www.youtube.com/watch?v=1c5ahiOM684,Are the New Jersey mystery drones aliens?,/media/user/data/polymarket/data/embbeding/audio/audio_0024.pt,/media/user/data/polymarket/data/embbeding/video/video_0024.pt,/media/user/data/polymarket/data/embbeding/question/question_0027.pt,/media/user/data/polymarket/data/embbeding/text/text_0024.pt,Impact
Kash Patel threatens legal action against former WH colleague,https://www.youtube.com/watch?v=1km_uxAUD9k,Will Kash Patel be Trump's FBI director?,/media/user/data/polymarket/data/embbeding/audio/audio_0028.pt,/media/user/data/polymarket/data/embbeding/video/video_0028.pt,/media/user/data/polymarket/data/embbeding/question/question_0028.pt,/media/user/data/polymarket/data/embbeding/text/text_0028.pt,Impact
'Regional war has essentially begun' as US warns Iranian attack on Israel could be imminent,https://www.youtube.com/watch?v=1yM9rqJEKmc,Israel military action against Iran by end of 2024?,/media/user/data/polymarket/data/embbeding/audio/audio_0029.pt,/media/user/data/polymarket/data/embbeding/video/video_0029.pt,/media/user/data/polymarket/data/embbeding/question/question_0029.pt,/media/user/data/polymarket/data/embbeding/text/text_0029.pt,Impact
'Regional war has essentially begun' as US warns Iranian attack on Israel could be imminent,https://www.youtube.com/watch?v=1yM9rqJEKmc,Will Israel invade Lebanon in September?,/media/user/data/polymarket/data/embbeding/audio/audio_0029.pt,/media/user/data/polymarket/data/embbeding/video/video_0029.pt,/media/user/data/polymarket/data/embbeding/question/question_0030.pt,/media/user/data/polymarket/data/embbeding/text/text_0029.pt,Impact
'Regional war has essentially begun' as US warns Iranian attack on Israel could be imminent,https://www.youtube.com/watch?v=1yM9rqJEKmc,Will Israel invade Lebanon before November?,/media/user/data/polymarket/data/embbeding/audio/audio_0029.pt,/media/user/data/polymarket/data/embbeding/video/video_0029.pt,/media/user/data/polymarket/data/embbeding/question/question_0031.pt,/media/user/data/polymarket/data/embbeding/text/text_0029.pt,Impact
Elon Musk and Jeff Bezos publicly sparring over Trump,https://www.youtube.com/watch?v=2Eo2Ra9EHKg,Elon Musk out as Head of DOGE before July?,/media/user/data/polymarket/data/embbeding/audio/audio_0032.pt,/media/user/data/polymarket/data/embbeding/video/video_0032.pt,/media/user/data/polymarket/data/embbeding/question/question_0032.pt,/media/user/data/polymarket/data/embbeding/text/text_0032.pt,Impact
Caroline Kennedy calls cousin RFK Jr. a predator' ahead of his confirmation hearings,https://www.youtube.com/watch?v=2WQ9MtzuYaA,Will Mitch McConnell vote to confirm Robert Kennedy Jr. as Secretary of Health and Human Services?,/media/user/data/polymarket/data/embbeding/audio/audio_0033.pt,/media/user/data/polymarket/data/embbeding/video/video_0033.pt,/media/user/data/polymarket/data/embbeding/question/question_0033.pt,/media/user/data/polymarket/data/embbeding/text/text_0033.pt,Impact
Caroline Kennedy calls cousin RFK Jr. a predator' ahead of his confirmation hearings,https://www.youtube.com/watch?v=2WQ9MtzuYaA,Will John Fetterman vote to confirm Robert Kennedy Jr. as Secretary of Health and Human Services?,/media/user/data/polymarket/data/embbeding/audio/audio_0033.pt,/media/user/data/polymarket/data/embbeding/video/video_0033.pt,/media/user/data/polymarket/data/embbeding/question/question_0034.pt,/media/user/data/polymarket/data/embbeding/text/text_0033.pt,Impact
Caroline Kennedy calls cousin RFK Jr. a predator' ahead of his confirmation hearings,https://www.youtube.com/watch?v=2WQ9MtzuYaA,Will Lisa Murkowski vote to confirm Robert Kennedy Jr. as Secretary of Health and Human Services?,/media/user/data/polymarket/data/embbeding/audio/audio_0033.pt,/media/user/data/polymarket/data/embbeding/video/video_0033.pt,/media/user/data/polymarket/data/embbeding/question/question_0035.pt,/media/user/data/polymarket/data/embbeding/text/text_0033.pt,Impact
