title,url,matching_questions,emb_file,graph_file,change_1d,change_3d,change_5d
"Putin will delay Ukraine ceasefire until key goal achieved, says Gen. Keane",https://www.youtube.com/watch?v=ZWVjLeTLVQw,Russia x Ukraine Ceasefire by Friday?,data/emb_0176.pt,data/graph_0176.pt,0,0,0
BREAKING: Russian forces advance in Ukraine ahead of ceasefire talks,https://www.youtube.com/watch?v=CFeZ3dpnlTY,Russia x Ukraine Ceasefire by Friday?,data/emb_0177.pt,data/graph_0177.pt,0,0,0
'UP TO PUTIN': World awaits Russia response after Ukraine agrees to ceasefire,https://www.youtube.com/watch?v=8TTpRLwFy0c,Russia x Ukraine Ceasefire by Friday?,data/emb_0178.pt,data/graph_0178.pt,0,0,0
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",data/emb_0179.pt,data/graph_0179.pt,0,0,0
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,25% steel tariff in effect before May?,data/emb_0180.pt,data/graph_0180.pt,0,0,0
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",data/emb_0180.pt,data/graph_0180.pt,1,0,0
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,25% aluminum tariff in effect before May?,data/emb_0180.pt,data/graph_0180.pt,1,1,1
BREAKING: Trump suspends most new tariffs on Mexico,https://www.youtube.com/watch?v=b_w1zkS9o3E,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,data/emb_0183.pt,data/graph_0183.pt,1,1,1
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,Trump announces cutting all military aid to Ukraine aid before April?,data/emb_0184.pt,data/graph_0184.pt,1,1,1
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,Trump admin announces cutting Ukraine aid by Friday?,data/emb_0184.pt,data/graph_0184.pt,1,1,1
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,Trump admin announces cutting Ukraine aid by Friday?,data/emb_0186.pt,data/graph_0186.pt,1,1,1
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,Trump announces cutting all military aid to Ukraine aid before April?,data/emb_0186.pt,data/graph_0186.pt,1,1,1
"Zelenskyy says Oval Office spat was regrettable, asks Trump for another chance at peace talks",https://www.youtube.com/watch?v=FM9TqkvTK44,Trump announces cutting all military aid to Ukraine aid before April?,data/emb_0188.pt,data/graph_0188.pt,1,1,1
"Zelenskyy says Oval Office spat was regrettable, asks Trump for another chance at peace talks",https://www.youtube.com/watch?v=FM9TqkvTK44,Trump admin announces cutting Ukraine aid by Friday?,data/emb_0188.pt,data/graph_0188.pt,1,1,1
'REALLY SET HIM OFF': VP Vance explains Zelenskyy clash,https://www.youtube.com/watch?v=T0RHvRh2OD0,Will Zelenskyy apologize to Trump by Friday?,data/emb_0190.pt,data/graph_0190.pt,0,0,0
Karoline Leavitt sends message to Dems planning to disrupt Trump address,https://www.youtube.com/watch?v=FxH-hLkiiWI,Will Trump's joint address to Congress be 80 min or more?,data/emb_0191.pt,data/graph_0191.pt,1,1,1
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 80 min or more?,data/emb_0192.pt,data/graph_0192.pt,1,1,1
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 50-60 min?,data/emb_0192.pt,data/graph_0192.pt,0,0,0
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 70-80 min?,data/emb_0192.pt,data/graph_0192.pt,0,0,0
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 60-70 min?,data/emb_0192.pt,data/graph_0192.pt,1,1,1
Europe must step up and 'stand on its own' against Putin: Rep. Mast,https://www.youtube.com/watch?v=ihXKZHpLu_k,Trump announces cutting all military aid to Ukraine aid before April?,data/emb_0196.pt,data/graph_0196.pt,1,1,1
Europe must step up and 'stand on its own' against Putin: Rep. Mast,https://www.youtube.com/watch?v=ihXKZHpLu_k,Trump admin announces cutting Ukraine aid by Friday?,data/emb_0196.pt,data/graph_0196.pt,1,1,1
Trump warns Zelenskyy: 'He better not be right about that',https://www.youtube.com/watch?v=T3uSZKiziu4,Trump announces cutting all military aid to Ukraine aid before April?,data/emb_0198.pt,data/graph_0198.pt,1,1,1
Trump warns Zelenskyy: 'He better not be right about that',https://www.youtube.com/watch?v=T3uSZKiziu4,Trump admin announces cutting Ukraine aid by Friday?,data/emb_0198.pt,data/graph_0198.pt,1,1,1
"Fox News Highlights - March 3, 2025",https://www.youtube.com/watch?v=qfE--A2VLrM,Trump announces cutting all military aid to Ukraine aid before April?,data/emb_0200.pt,data/graph_0200.pt,1,1,1
"Fox News Highlights - March 3, 2025",https://www.youtube.com/watch?v=qfE--A2VLrM,Trump admin announces cutting Ukraine aid by Friday?,data/emb_0200.pt,data/graph_0200.pt,1,1,1
Laura Ingraham: It's Trump's job to clean up the mess the old establishment left behind,https://www.youtube.com/watch?v=QOvnw849_mo,Trump announces cutting all military aid to Ukraine aid before April?,data/emb_0202.pt,data/graph_0202.pt,1,1,1
Laura Ingraham: It's Trump's job to clean up the mess the old establishment left behind,https://www.youtube.com/watch?v=QOvnw849_mo,Trump admin announces cutting Ukraine aid by Friday?,data/emb_0202.pt,data/graph_0202.pt,1,1,1
Peter Doocy: This is quite a disconnect,https://www.youtube.com/watch?v=9etIqvF-eeI,Will Zelenskyy apologize to Trump by Friday?,data/emb_0204.pt,data/graph_0204.pt,0,0,0
BREAKING: U.S. pausing all military aid to Ukraine,https://www.youtube.com/watch?v=RafbJNWCNbc,Trump announces cutting all military aid to Ukraine aid before April?,data/emb_0205.pt,data/graph_0205.pt,1,1,1
BREAKING: U.S. pausing all military aid to Ukraine,https://www.youtube.com/watch?v=RafbJNWCNbc,Trump admin announces cutting Ukraine aid by Friday?,data/emb_0205.pt,data/graph_0205.pt,1,1,1
Trump commerce sec dings Zelenskyy over 'ridiculous' requests,https://www.youtube.com/watch?v=3izoRfurWko,Trump tariffs on Mexico in effect by May 1?,data/emb_0207.pt,data/graph_0207.pt,1,1,1
Trump commerce sec dings Zelenskyy over 'ridiculous' requests,https://www.youtube.com/watch?v=3izoRfurWko,Will Trump increase tariffs on China before May?,data/emb_0207.pt,data/graph_0207.pt,1,1,1
"Zelenskyy was insulting to the US, White House official Stephen Miller says",https://www.youtube.com/watch?v=AghddzMiRV0,Will Zelenskyy apologize to Trump by Sunday?,data/emb_0209.pt,data/graph_0209.pt,0,0,0
Jesse Watters: Zelenskyy really screwed up,https://www.youtube.com/watch?v=7kWvW98PRxU,Will Zelenskyy apologize to Trump by Sunday?,data/emb_0210.pt,data/graph_0210.pt,0,0,0
Zelenskyy asked whether he owes Trump an apology,https://www.youtube.com/watch?v=GfqLcBwUT_E,"Will Donald Trump say ""Ukraine"" 10+ times during his presser with Zelenskyy on Feb 28?",data/emb_0211.pt,data/graph_0211.pt,0,0,0
